bank,arm,opponent_family,requested_seed,seat,score,our_cash,opponent_cash,margin,paired_score_delta_vs_c0,paired_margin_delta_vs_c0,action_differences_vs_c0,first_action_difference,stored_states,statuses,shop_history_sha256,replay_path
external,a2,mooman_e052a,2026092422,0,1.0,62331.0,52593.0,9738.0,0.0,0.0,2,254,720,DONE/DONE,86f7dd52cde6f6c29c4b7645f6d9550fad65a3fa0e020f13ab27c5f50cccfab0,experiments\learning_round2_20260921\external_bank\replays\a2\mooman_e052a\seed_2026092422_seat_0.json.gz
external,a2,mooman_e052a,2026092422,1,1.0,63409.0,53526.0,9883.0,0.0,0.0,2,254,720,DONE/DONE,e4b291032602d7df03c664a5945f491142a5bd573564d4a1ed9c3788d8841302,experiments\learning_round2_20260921\external_bank\replays\a2\mooman_e052a\seed_2026092422_seat_1.json.gz
external,a2,mooman_e052a,2026092423,0,1.0,109532.0,89568.0,19964.0,0.0,0.0,2,254,720,DONE/DONE,3b15a90179d78132177234758759a2ae903ac311fbea2fb06440595cecc50aa7,experiments\learning_round2_20260921\external_bank\replays\a2\mooman_e052a\seed_2026092423_seat_0.json.gz
external,a2,mooman_e052a,2026092423,1,1.0,109532.0,89568.0,19964.0,0.0,0.0,2,254,720,DONE/DONE,3b15a90179d78132177234758759a2ae903ac311fbea2fb06440595cecc50aa7,experiments\learning_round2_20260921\external_bank\replays\a2\mooman_e052a\seed_2026092423_seat_1.json.gz
external,a2,mooman_e052a,2026092424,0,0.0,92038.0,103949.0,-11911.0,-1.0,-12235.0,30,242,720,DONE/DONE,a23f15340578a5b99382fe90550e3235e577c3b2f6523f8f814b92c3adae7208,experiments\learning_round2_20260921\external_bank\replays\a2\mooman_e052a\seed_2026092424_seat_0.json.gz
external,a2,mooman_e052a,2026092424,1,0.0,92038.0,103949.0,-11911.0,-1.0,-12235.0,30,242,720,DONE/DONE,a23f15340578a5b99382fe90550e3235e577c3b2f6523f8f814b92c3adae7208,experiments\learning_round2_20260921\external_bank\replays\a2\mooman_e052a\seed_2026092424_seat_1.json.gz
external,a2,qeinstein_moev2,2026092421,0,0.0,104458.0,108441.0,-3983.0,0.0,-713.0,7,284,720,DONE/DONE,952794c1ef150612947ef354caa467f8a12cd99436834e5997cda414e2ee1b62,experiments\learning_round2_20260921\external_bank\replays\a2\qeinstein_moev2\seed_2026092421_seat_0.json.gz
external,a2,qeinstein_moev2,2026092421,1,0.0,104662.0,107933.0,-3271.0,0.0,-1.0,2,287,720,DONE/DONE,952794c1ef150612947ef354caa467f8a12cd99436834e5997cda414e2ee1b62,experiments\learning_round2_20260921\external_bank\replays\a2\qeinstein_moev2\seed_2026092421_seat_1.json.gz
external,a2,qeinstein_moev2,2026092422,0,1.0,115754.0,113285.0,2469.0,0.0,-2134.0,5,279,720,DONE/DONE,a6ab4a8617a14246a83638fda37212b605621ffae992958a904d37d38c45f904,experiments\learning_round2_20260921\external_bank\replays\a2\qeinstein_moev2\seed_2026092422_seat_0.json.gz
external,a2,qeinstein_moev2,2026092422,1,0.0,114268.0,115410.0,-1142.0,-1.0,-2444.0,21,279,720,DONE/DONE,21388dc3da1dc4db654389c3092dae24ebcb3a1aa55d69f480fb25577e735eb3,experiments\learning_round2_20260921\external_bank\replays\a2\qeinstein_moev2\seed_2026092422_seat_1.json.gz
external,a2,qeinstein_moev2,2026092423,0,1.0,70064.0,51048.0,19016.0,0.0,0.0,2,254,720,DONE/DONE,98459d74ea722dfadd033793e482550b44de087d64ec90ce077ae0c0f1d55381,experiments\learning_round2_20260921\external_bank\replays\a2\qeinstein_moev2\seed_2026092423_seat_0.json.gz
external,a2,qeinstein_moev2,2026092423,1,1.0,70064.0,51048.0,19016.0,0.0,0.0,2,254,720,DONE/DONE,98459d74ea722dfadd033793e482550b44de087d64ec90ce077ae0c0f1d55381,experiments\learning_round2_20260921\external_bank\replays\a2\qeinstein_moev2\seed_2026092423_seat_1.json.gz
external,a2,qeinstein_moev2,2026092424,0,1.0,123845.0,118223.0,5622.0,0.0,-63.0,3,286,720,DONE/DONE,3723bf41f9aacdd0984c797fc5304082012861f02215df0a8fd5f0f368f159de,experiments\learning_round2_20260921\external_bank\replays\a2\qeinstein_moev2\seed_2026092424_seat_0.json.gz
external,a2,qeinstein_moev2,2026092424,1,1.0,123911.0,118211.0,5700.0,0.0,15.0,2,287,720,DONE/DONE,3723bf41f9aacdd0984c797fc5304082012861f02215df0a8fd5f0f368f159de,experiments\learning_round2_20260921\external_bank\replays\a2\qeinstein_moev2\seed_2026092424_seat_1.json.gz
external,a2,smart_farm,2026092421,0,1.0,76155.0,74577.0,1578.0,0.0,-3491.0,10,279,720,DONE/DONE,2db8c68149ed114570b99e4340d9e4c8be1afbda9a383fbfc75e069d947f2752,experiments\learning_round2_20260921\external_bank\replays\a2\smart_farm\seed_2026092421_seat_0.json.gz
